Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-LossAccuracy-L2,0.7991942590960595,0.9184027777777778,0.8546617300572197,0.06894803047180176
2,isolation-LossAccuracy-L2,0.8503694581280788,0.9989872685185185,0.9187067589143162,0.0661768913269043
3,isolation-LossAccuracy-L2,0.7976340297004783,0.9169560185185185,0.8531430878987751,0.06607985496520996
4,isolation-LossAccuracy-L2,0.799748743718593,0.9210069444444444,0.8561054330285099,0.06643819808959961
5,isolation-LossAccuracy-L2,0.7993702770780856,0.9182581018518519,0.8546997037436035,0.06595134735107422
6,isolation-LossAccuracy-L2,0.7991684515560036,0.9176793981481481,0.8543336251599434,0.0662529468536377
7,isolation-LossAccuracy-L2,0.7999497676754992,0.9215856481481481,0.8564705882352941,0.06585907936096191
8,isolation-LossAccuracy-L2,0.8000502071043053,0.9221643518518519,0.856778009274817,0.0663294792175293
9,isolation-LossAccuracy-L2,0.7980419229320949,0.9198495370370371,0.8546273271053163,0.06612968444824219
10,isolation-LossAccuracy-L2,0.8054325017486593,0.9995659722222222,0.8920593931568754,0.06548357009887695
11,isolation-LossAccuracy-L2,0.8078858078858079,0.9989872685185185,0.893330745843845,0.06621599197387695
12,isolation-LossAccuracy-L2,0.8010827143396702,0.9205729166666666,0.8566812521036689,0.06754660606384277
13,isolation-LossAccuracy-L2,0.8439066128835105,0.9988425925925926,0.9148611939309612,0.06613636016845703
14,isolation-LossAccuracy-L2,0.8057856059722385,0.9994212962962963,0.8922182757507265,0.06644034385681152
15,isolation-LossAccuracy-L2,0.847428501288818,0.9988425925925926,0.9169267547645926,0.0665290355682373
16,isolation-LossAccuracy-L2,0.807364114552893,0.9992766203703703,0.8931273032908773,0.06627917289733887
17,isolation-LossAccuracy-L2,0.8006790744466801,0.9211516203703703,0.8567007534983854,0.06629562377929688
18,isolation-LossAccuracy-L2,0.8519432449105491,0.9989872685185185,0.9196244256509288,0.06629395484924316
19,isolation-LossAccuracy-L2,0.807292275330139,0.9994212962962963,0.8931411209515806,0.06597638130187988
20,isolation-LossAccuracy-L2,0.8001006415901372,0.9201388888888888,0.8559316331337057,0.06618332862854004
21,isolation-LossAccuracy-L2,0.8020584912765156,0.9244791666666666,0.8589286914443176,0.06618618965148926
22,isolation-LossAccuracy-L2,0.8012539184952978,0.9244791666666666,0.8584671189628534,0.0659327507019043
23,isolation-LossAccuracy-L2,0.8059283463648034,0.9991319444444444,0.8921904269750015,0.0690467357635498
24,isolation-LossAccuracy-L2,0.7994189718327649,0.9156539351851852,0.8535976802211881,0.06648755073547363
25,isolation-LossAccuracy-L2,0.8000752539821899,0.9228877314814815,0.857104467584817,0.06595897674560547
26,isolation-LossAccuracy-L2,0.848787095185322,0.9972511574074074,0.9170491585179272,0.0662529468536377
27,isolation-LossAccuracy-L2,0.7993222891566265,0.9214409722222222,0.8560483870967742,0.06590127944946289
28,isolation-LossAccuracy-L2,0.8067040411118898,0.9992766203703703,0.8927232777562364,0.06570291519165039
29,isolation-LossAccuracy-L2,0.8483173667403586,0.9992766203703703,0.9176298658163943,0.06596064567565918
30,isolation-LossAccuracy-L2,0.8445450097847358,0.9989872685185185,0.9152969247083774,0.06620979309082031
