Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Bias-L2,0.7717276099629041,0.8427372685185185,0.8056708160442599,0.33130502700805664
2,svm-Bias-L2,0.8359375,0.8359375,0.8359375,0.3261704444885254
3,svm-Bias-L2,0.8269323091694671,0.9968171296296297,0.9039622146418262,0.33394598960876465
4,svm-Bias-L2,0.7987905442550852,0.8408564814814815,0.8192839018889203,0.32819199562072754
5,svm-Bias-L2,0.8561847988077497,0.9973958333333334,0.921411387329591,0.3241233825683594
6,svm-Bias-L2,0.8493641190270403,0.9952256944444444,0.9165278795549929,0.3466470241546631
7,svm-Bias-L2,0.7717016193257233,0.8411458333333334,0.8049286999861553,0.34518980979919434
8,svm-Bias-L2,0.8521083219982688,0.9969618055555556,0.9188612574171612,0.34453463554382324
9,svm-Bias-L2,0.8503267168043398,0.9978298611111112,0.9181921054383279,0.33365345001220703
10,svm-Bias-L2,0.8269738420926326,0.9971064814814815,0.904105995015086,0.3389568328857422
11,svm-Bias-L2,0.7690952762209767,0.6948784722222222,0.7301056471840085,0.33908843994140625
12,svm-Bias-L2,0.8322635857937527,0.8441840277777778,0.8381814264167206,0.368161678314209
13,svm-Bias-L2,0.7712843671138265,0.8401331018518519,0.8042379336611037,0.3648970127105713
14,svm-Bias-L2,0.8520212634441835,0.9971064814814815,0.9188720751949871,0.3611748218536377
15,svm-Bias-L2,0.8246054519368723,0.9978298611111112,0.9029850746268656,0.36757636070251465
16,svm-Bias-L2,0.7620051914341337,0.6795428240740741,0.7184154175588866,0.37033534049987793
17,svm-Bias-L2,0.8524286243974787,0.9978298611111112,0.9194161167766446,0.39348602294921875
18,svm-Bias-L2,0.8516232563881002,0.9981192129629629,0.9190701392126823,0.39876246452331543
19,svm-Bias-L2,0.8288417431192661,0.8365162037037037,0.8326612903225807,0.355593204498291
20,svm-Bias-L2,0.7684498872059298,0.6899594907407407,0.7270925445952127,0.4003620147705078
21,svm-Bias-L2,0.8343110602375161,0.8436053240740741,0.8389324509028127,0.39672303199768066
22,svm-Bias-L2,0.8349070100143061,0.8443287037037037,0.8395914256941447,0.3966977596282959
23,svm-Bias-L2,0.7344014789708828,0.6896701388888888,0.7113332835932253,0.3791086673736572
24,svm-Bias-L2,0.8503082614056721,0.9976851851851852,0.9181200905338837,0.4242532253265381
25,svm-Bias-L2,0.7666396761133604,0.6848958333333334,0.7234660349965615,0.42078185081481934
26,svm-Bias-L2,0.8309414466130884,0.8376736111111112,0.8342939481268011,0.3801238536834717
27,svm-Bias-L2,0.7680154763823956,0.6892361111111112,0.7264963781929088,0.4055593013763428
28,svm-Bias-L2,0.8262016061368812,0.9972511574074074,0.9037037037037037,0.4267244338989258
29,svm-Bias-L2,0.7331890554954398,0.6861979166666666,0.7089156266347806,0.3957250118255615
30,svm-Bias-L2,0.7654676258992805,0.6927083333333334,0.7272727272727273,0.4022510051727295
