Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-LossAccuracy-L1,0.9003889097980178,0.9229681069958847,0.911538705785229,0.07667875289916992
2,isolation-LossAccuracy-L1,0.9004513540621866,0.9236111111111112,0.9118842051802946,0.07046198844909668
3,isolation-LossAccuracy-L1,0.899400898652022,0.9266975308641975,0.9128451988852292,0.06495976448059082
4,isolation-LossAccuracy-L1,0.8989669942050894,0.9176954732510288,0.9082346951762759,0.06580996513366699
5,isolation-LossAccuracy-L1,0.9163575904847168,0.9214248971193416,0.918884257774928,0.06988358497619629
6,isolation-LossAccuracy-L1,0.9015609264853978,0.9210390946502057,0.9111959287531807,0.07540512084960938
7,isolation-LossAccuracy-L1,0.9011598587997983,0.9192386831275721,0.9101094983447925,0.07323694229125977
8,isolation-LossAccuracy-L1,0.9007083227928155,0.9157664609053497,0.9081749776814181,0.07397079467773438
9,isolation-LossAccuracy-L1,0.9004787100025196,0.9192386831275721,0.9097619956726486,0.08169817924499512
10,isolation-LossAccuracy-L1,0.928067869518461,0.9988425925925926,0.9621554660885724,0.07329797744750977
11,isolation-LossAccuracy-L1,0.9178452044227308,0.9180812757201646,0.9179632248939179,0.06520414352416992
12,isolation-LossAccuracy-L1,0.9000250878073256,0.9227109053497943,0.9112268224536448,0.07619118690490723
13,isolation-LossAccuracy-L1,0.9002496878901374,0.9273405349794238,0.9135943240846319,0.06801486015319824
14,isolation-LossAccuracy-L1,0.9168797953964194,0.9220679012345679,0.9194665298794563,0.06477236747741699
15,isolation-LossAccuracy-L1,0.9001764557600201,0.9184670781893004,0.9092297899427115,0.06658649444580078
16,isolation-LossAccuracy-L1,0.9240747352136142,0.998585390946502,0.9598862723283268,0.06539535522460938
17,isolation-LossAccuracy-L1,0.9160668380462725,0.9165380658436214,0.9163023913602469,0.07191824913024902
18,isolation-LossAccuracy-L1,0.9270621941029008,0.9987139917695473,0.9615551290781899,0.0731663703918457
19,isolation-LossAccuracy-L1,0.92618650131171,0.9988425925925926,0.9611434228437075,0.0820016860961914
20,isolation-LossAccuracy-L1,0.8995088779750661,0.9185956790123457,0.9089520900935294,0.07114982604980469
21,isolation-LossAccuracy-L1,0.916698607384694,0.9227109053497943,0.9196949304620906,0.07210159301757812
22,isolation-LossAccuracy-L1,0.9006664151892367,0.9211676954732511,0.9108017038591137,0.07188844680786133
23,isolation-LossAccuracy-L1,0.899723200805234,0.9196244855967078,0.909564996184177,0.07694411277770996
24,isolation-LossAccuracy-L1,0.9006156552330695,0.9218106995884774,0.9110899269145218,0.07603883743286133
25,isolation-LossAccuracy-L1,0.9276331502268927,0.9989711934156379,0.9619814241486068,0.07938075065612793
26,isolation-LossAccuracy-L1,0.9292300323314573,0.9979423868312757,0.9623612575184473,0.08154559135437012
27,isolation-LossAccuracy-L1,0.9248272575649273,0.9983281893004116,0.9601731601731602,0.07418656349182129
28,isolation-LossAccuracy-L1,0.9015589640432486,0.9221965020576132,0.9117609663064209,0.07175612449645996
29,isolation-LossAccuracy-L1,0.9003787878787879,0.9170524691358025,0.9086391437308868,0.07315659523010254
30,isolation-LossAccuracy-L1,0.9178397747632454,0.9223251028806584,0.9200769724182167,0.06858992576599121
