Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-LossAccuracy-L1,0.90357101314412,0.9989711934156379,0.9488792524277775,0.3533611297607422
2,svm-LossAccuracy-L1,0.9043073341094295,0.9989711934156379,0.949285103262862,0.28762197494506836
3,svm-LossAccuracy-L1,0.9030796048808832,0.9993569958847737,0.9487821256333557,0.29776930809020996
4,svm-LossAccuracy-L1,0.9030345308685037,0.9988425925925926,0.94852537094706,0.2974081039428711
5,svm-LossAccuracy-L1,0.9033833275200558,0.9992283950617284,0.948891738413629,0.2935929298400879
6,svm-LossAccuracy-L1,0.9047785547785547,0.9983281893004116,0.9492540963560774,0.29789042472839355
7,svm-LossAccuracy-L1,0.903808081984395,0.998070987654321,0.9486035568049869,0.3177361488342285
8,svm-LossAccuracy-L1,0.9046286580389413,0.9978137860082305,0.9489390325934081,0.3050084114074707
9,svm-LossAccuracy-L1,0.904257794322941,0.9996141975308642,0.9495480087955046,0.2936062812805176
10,svm-LossAccuracy-L1,0.928067869518461,0.9988425925925926,0.9621554660885724,0.3223140239715576
11,svm-LossAccuracy-L1,0.9037364683971598,0.9984567901234568,0.9487383149019369,0.29917383193969727
12,svm-LossAccuracy-L1,0.9034209913893414,0.9984567901234568,0.948564447159438,0.30887675285339355
13,svm-LossAccuracy-L1,0.90357101314412,0.9989711934156379,0.9488792524277775,0.2911093235015869
14,svm-LossAccuracy-L1,0.9043073341094295,0.9989711934156379,0.949285103262862,0.3142695426940918
15,svm-LossAccuracy-L1,0.9038416763678696,0.9984567901234568,0.9487962849810583,0.2983982563018799
16,svm-LossAccuracy-L1,0.9240747352136142,0.998585390946502,0.9598862723283268,0.32000207901000977
17,svm-LossAccuracy-L1,0.9025325278810409,0.9990997942386831,0.9483642578125,0.30046939849853516
18,svm-LossAccuracy-L1,0.9270621941029008,0.9987139917695473,0.9615551290781899,0.3122694492340088
19,svm-LossAccuracy-L1,0.92618650131171,0.9988425925925926,0.9611434228437075,0.32149815559387207
20,svm-LossAccuracy-L1,0.9031507964190211,0.9989711934156379,0.9486474934359163,0.3081214427947998
21,svm-LossAccuracy-L1,0.9039916210869312,0.9989711934156379,0.9491111246869082,0.33447790145874023
22,svm-LossAccuracy-L1,0.9033496161898116,0.9988425925925926,0.9486991572004397,0.3525271415710449
23,svm-LossAccuracy-L1,0.9038304808475958,0.9983281893004116,0.9487320501069356,0.3319709300994873
24,svm-LossAccuracy-L1,0.9036649214659686,0.9988425925925926,0.948873007146784,0.2983970642089844
25,svm-LossAccuracy-L1,0.9276331502268927,0.9989711934156379,0.9619814241486068,0.3128361701965332
26,svm-LossAccuracy-L1,0.9292300323314573,0.9979423868312757,0.9623612575184473,0.31319713592529297
27,svm-LossAccuracy-L1,0.9248272575649273,0.9983281893004116,0.9601731601731602,0.30425119400024414
28,svm-LossAccuracy-L1,0.9040745052386496,0.9987139917695473,0.9490406941219602,0.3041064739227295
29,svm-LossAccuracy-L1,0.9034924330616997,0.998070987654321,0.9484296712697056,0.29280543327331543
30,svm-LossAccuracy-L1,0.9032558139534884,0.9989711934156379,0.9487054225696142,0.3022792339324951
