Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,diversidade-LossAccuracy-L2,0,0.0,0,0.8,0.031186342239379883
2,diversidade-LossAccuracy-L2,0.9080459770114943,0.045717592592592594,0.08705234159779615,0.8082175925925926,0.043518781661987305
3,diversidade-LossAccuracy-L2,0.6666666666666666,0.005787037037037037,0.011474469305794606,0.8005787037037037,0.030301332473754883
4,diversidade-LossAccuracy-L2,0.9166666666666666,0.00636574074074074,0.01264367816091954,0.8011574074074074,0.02871394157409668
5,diversidade-LossAccuracy-L2,0.75,0.008680555555555556,0.017162471395881007,0.8011574074074074,0.030269384384155273
6,diversidade-LossAccuracy-L2,0.9333333333333333,0.008101851851851851,0.01606425702811245,0.8015046296296297,0.029725313186645508
7,diversidade-LossAccuracy-L2,0.8888888888888888,0.009259259259259259,0.018327605956471933,0.8016203703703704,0.028829574584960938
8,diversidade-LossAccuracy-L2,0.7272727272727273,0.009259259259259259,0.018285714285714284,0.8011574074074074,0.026488542556762695
9,diversidade-LossAccuracy-L2,0.9,0.010416666666666666,0.020594965675057208,0.8018518518518518,0.026748180389404297
10,diversidade-LossAccuracy-L2,0.625,0.005787037037037037,0.011467889908256878,0.8004629629629629,0.0498805046081543
11,diversidade-LossAccuracy-L2,0.6842105263157895,0.007523148148148148,0.014882655981682884,0.8008101851851852,0.050151824951171875
12,diversidade-LossAccuracy-L2,0.8421052631578947,0.009259259259259259,0.018317115054378934,0.8015046296296297,0.044222116470336914
13,diversidade-LossAccuracy-L2,0.8518518518518519,0.03993055555555555,0.07628524046434493,0.8065972222222222,0.04528307914733887
14,diversidade-LossAccuracy-L2,0.7368421052631579,0.008101851851851851,0.01602747567258157,0.8010416666666667,0.04741024971008301
15,diversidade-LossAccuracy-L2,0.8901098901098901,0.046875,0.08905992303463442,0.8082175925925926,0.026966094970703125
16,diversidade-LossAccuracy-L2,0.7272727272727273,0.004629629629629629,0.00920069005175388,0.8005787037037037,0.024468183517456055
17,diversidade-LossAccuracy-L2,0.8181818181818182,0.010416666666666666,0.02057142857142857,0.8016203703703704,0.022984981536865234
18,diversidade-LossAccuracy-L2,0.8888888888888888,0.05555555555555555,0.10457516339869281,0.8097222222222222,0.02310657501220703
19,diversidade-LossAccuracy-L2,0.6470588235294118,0.00636574074074074,0.012607449856733524,0.8005787037037037,0.023230552673339844
20,diversidade-LossAccuracy-L2,0.7777777777777778,0.008101851851851851,0.016036655211912942,0.8011574074074074,0.023070096969604492
21,diversidade-LossAccuracy-L2,0.9444444444444444,0.009837962962962963,0.019473081328751436,0.8018518518518518,0.022072315216064453
22,diversidade-LossAccuracy-L2,0.6428571428571429,0.005208333333333333,0.010332950631458093,0.8004629629629629,0.025956153869628906
23,diversidade-LossAccuracy-L2,0.6111111111111112,0.00636574074074074,0.012600229095074456,0.8004629629629629,0.025012493133544922
24,diversidade-LossAccuracy-L2,0.8823529411764706,0.008680555555555556,0.017191977077363897,0.8015046296296297,0.024564504623413086
25,diversidade-LossAccuracy-L2,0.6666666666666666,0.006944444444444444,0.013745704467353952,0.8006944444444445,0.028417587280273438
26,diversidade-LossAccuracy-L2,0.8695652173913043,0.046296296296296294,0.08791208791208792,0.8078703703703703,0.022913217544555664
27,diversidade-LossAccuracy-L2,0.75,0.006944444444444444,0.013761467889908256,0.8009259259259259,0.021326303482055664
28,diversidade-LossAccuracy-L2,0.6875,0.00636574074074074,0.012614678899082568,0.8006944444444445,0.020977258682250977
29,diversidade-LossAccuracy-L2,0.8620689655172413,0.043402777777777776,0.08264462809917356,0.8072916666666666,0.02119159698486328
30,diversidade-LossAccuracy-L2,0.8846153846153846,0.03993055555555555,0.07641196013289035,0.8069444444444445,0.03017449378967285
