Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-Noise-L2,0.5,0.4,0.4444444444444445,0.75,0.0003249645233154297
1,svm-Noise-L2,0.5,0.4,0.4444444444444445,0.75,0.00037407875061035156
1,svm-Noise-L2,0.12930490727892013,0.5931712962962963,0.21232522009321594,0.11979166666666667,0.46660494804382324
2,svm-Noise-L2,0.9964871194379391,0.49247685185185186,0.659178931061193,0.8981481481481481,0.45107102394104004
3,svm-Noise-L2,0.13733496665305567,0.5839120370370371,0.22236914600550964,0.1832175925925926,0.4139535427093506
4,svm-Noise-L2,0.6310746064339493,0.5335648148148148,0.5782376920664785,0.8443287037037037,0.4000108242034912
5,svm-Noise-L2,0.14138023630504834,0.609375,0.22951176983435048,0.18171296296296297,0.4291698932647705
6,svm-Noise-L2,0.145682001614205,0.6267361111111112,0.23641126391617553,0.19027777777777777,0.4654524326324463
7,svm-Noise-L2,0.12262854000549904,0.5162037037037037,0.19817818262608308,0.16458333333333333,0.4204249382019043
8,svm-Noise-L2,0.6488502175264139,0.6041666666666666,0.6257117171111776,0.8554398148148148,0.41213393211364746
9,svm-Noise-L2,0.1389945652173913,0.5920138888888888,0.22513204225352115,0.1849537037037037,0.40789127349853516
10,svm-Noise-L2,0.18222768222768224,0.5150462962962963,0.2692075015124017,0.44074074074074077,0.44338321685791016
11,svm-Noise-L2,0.09633418584825235,0.3923611111111111,0.15468856947296372,0.1423611111111111,0.47376465797424316
12,svm-Noise-L2,0.130327868852459,0.5520833333333334,0.2108753315649867,0.1736111111111111,0.49520421028137207
13,svm-Noise-L2,0.20142461416699645,0.5891203703703703,0.3002064287820702,0.45069444444444445,0.4039018154144287
14,svm-Noise-L2,0.19956357865502877,0.5821759259259259,0.297237405820653,0.4494212962962963,0.4160287380218506
15,svm-Noise-L2,0.28804347826086957,0.5520833333333334,0.3785714285714286,0.6375,0.42546820640563965
16,svm-Noise-L2,0.9935304990757856,0.6221064814814815,0.7651245551601423,0.9236111111111112,0.3822643756866455
17,svm-Noise-L2,0.14212152420185376,0.5590277777777778,0.2266275659824047,0.2369212962962963,0.4955129623413086
18,svm-Noise-L2,0.1132839782092471,0.4693287037037037,0.18251378417913808,0.15914351851851852,0.42664074897766113
19,svm-Noise-L2,0.28287092882991555,0.5428240740740741,0.3719270420301348,0.6333333333333333,0.4867730140686035
20,svm-Noise-L2,0.1246259724715739,0.4820601851851852,0.19805040418449835,0.21921296296296297,0.40199899673461914
21,svm-Noise-L2,0.6392206159648021,0.5885416666666666,0.6128351913226876,0.8512731481481481,0.42095303535461426
22,svm-Noise-L2,0.10687022900763359,0.47800925925925924,0.17468541820873426,0.09664351851851852,0.645484209060669
23,svm-Noise-L2,0.26045340050377835,0.5983796296296297,0.362934362934363,0.5798611111111112,0.4602351188659668
24,svm-Noise-L2,0.9867403314917127,0.5167824074074074,0.6783137105962781,0.9019675925925926,0.4014766216278076
25,svm-Noise-L2,0.6491120636864667,0.6134259259259259,0.6307646533769712,0.8563657407407408,0.41353392601013184
26,svm-Noise-L2,1.0,0.49016203703703703,0.657864077669903,0.8980324074074074,0.4002971649169922
27,svm-Noise-L2,0.13723776223776224,0.6359953703703703,0.225760065735415,0.1275462962962963,0.4213120937347412
28,svm-Noise-L2,0.9922027290448343,0.5891203703703703,0.7392883079157588,0.9168981481481482,0.45270276069641113
29,svm-Noise-L2,0.994824016563147,0.5561342592592593,0.7134372680029696,0.9106481481481481,0.4236607551574707
30,svm-Noise-L2,0.996594778660613,0.5081018518518519,0.6730548102721349,0.9012731481481482,0.3732600212097168
