Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,diversidade-LossAccuracy-L1,0.8571428571428571,0.006944444444444444,0.013777267508610793,0.9005787037037037,0.02189946174621582
2,diversidade-LossAccuracy-L1,1.0,0.0011574074074074073,0.002312138728323699,0.9001157407407407,0.021872758865356445
3,diversidade-LossAccuracy-L1,0.8333333333333334,0.005787037037037037,0.011494252873563216,0.9004629629629629,0.021320819854736328
4,diversidade-LossAccuracy-L1,0.6666666666666666,0.004629629629629629,0.009195402298850575,0.9002314814814815,0.021375417709350586
5,diversidade-LossAccuracy-L1,0.6,0.006944444444444444,0.013729977116704806,0.9002314814814815,0.02144622802734375
6,diversidade-LossAccuracy-L1,0.7333333333333333,0.01273148148148148,0.025028441410693967,0.9008101851851852,0.0215911865234375
7,diversidade-LossAccuracy-L1,0.4,0.0023148148148148147,0.004602991944764097,0.8998842592592593,0.021414995193481445
8,diversidade-LossAccuracy-L1,0.4,0.0023148148148148147,0.004602991944764097,0.8998842592592593,0.021372318267822266
9,diversidade-LossAccuracy-L1,0.8888888888888888,0.009259259259259259,0.018327605956471933,0.9008101851851852,0.022483110427856445
10,diversidade-LossAccuracy-L1,0.9019607843137255,0.05324074074074074,0.1005464480874317,0.9047453703703704,0.023433923721313477
11,diversidade-LossAccuracy-L1,0.3076923076923077,0.004629629629629629,0.00912200684150513,0.8994212962962963,0.02428603172302246
12,diversidade-LossAccuracy-L1,0.9,0.010416666666666666,0.020594965675057208,0.9009259259259259,0.027085304260253906
13,diversidade-LossAccuracy-L1,0.6666666666666666,0.004629629629629629,0.009195402298850575,0.9002314814814815,0.024950027465820312
14,diversidade-LossAccuracy-L1,0.42857142857142855,0.006944444444444444,0.01366742596810934,0.8997685185185185,0.024860620498657227
15,diversidade-LossAccuracy-L1,1.0,0.01273148148148148,0.025142857142857144,0.9012731481481482,0.024266958236694336
16,diversidade-LossAccuracy-L1,0.8913043478260869,0.047453703703703706,0.09010989010989011,0.9041666666666667,0.023759841918945312
17,diversidade-LossAccuracy-L1,0.3,0.003472222222222222,0.006864988558352403,0.899537037037037,0.022912263870239258
18,diversidade-LossAccuracy-L1,0.9433962264150944,0.05787037037037037,0.10905125408942201,0.9054398148148148,0.021862030029296875
19,diversidade-LossAccuracy-L1,0.8837209302325582,0.04398148148148148,0.08379272326350606,0.9038194444444444,0.021404266357421875
20,diversidade-LossAccuracy-L1,0.3333333333333333,0.0023148148148148147,0.004597701149425287,0.8997685185185185,0.02256155014038086
21,diversidade-LossAccuracy-L1,0.47368421052631576,0.010416666666666666,0.020385050962627407,0.8998842592592593,0.022304058074951172
22,diversidade-LossAccuracy-L1,0.625,0.005787037037037037,0.011467889908256878,0.9002314814814815,0.021795034408569336
23,diversidade-LossAccuracy-L1,0.6,0.006944444444444444,0.013729977116704806,0.9002314814814815,0.02278423309326172
24,diversidade-LossAccuracy-L1,0.5714285714285714,0.004629629629629629,0.009184845005740528,0.9001157407407407,0.023050546646118164
25,diversidade-LossAccuracy-L1,0.8846153846153846,0.05324074074074074,0.10043668122270744,0.9046296296296297,0.022184133529663086
26,diversidade-LossAccuracy-L1,0.8,0.046296296296296294,0.087527352297593,0.9034722222222222,0.024250268936157227
27,diversidade-LossAccuracy-L1,0.8205128205128205,0.037037037037037035,0.07087486157253599,0.9028935185185185,0.022962331771850586
28,diversidade-LossAccuracy-L1,0.6666666666666666,0.006944444444444444,0.013745704467353952,0.9003472222222222,0.021441936492919922
29,diversidade-LossAccuracy-L1,0.9,0.010416666666666666,0.020594965675057208,0.9009259259259259,0.022673606872558594
30,diversidade-LossAccuracy-L1,0.7692307692307693,0.011574074074074073,0.02280501710376283,0.9008101851851852,0.02219390869140625
